timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,62.80,0.34,0.00,0.00,0.00,0.00,1.71,35.15
1463492505000,0.00,0.00,33.92,0.35,0.00,0.00,0.35,0.35,10.49,54.55
1463492508000,0.00,0.00,62.54,1.06,0.00,0.00,0.35,0.35,4.59,31.10
1463492511000,0.00,0.00,63.89,0.69,0.00,0.00,0.35,0.35,4.17,30.56
1463492514000,0.00,0.00,76.41,1.06,0.00,0.00,0.00,0.70,3.87,17.96
1463492517000,0.00,0.00,58.60,0.70,0.00,0.00,0.35,0.35,3.51,36.49
1463492520000,0.00,0.00,72.44,0.71,0.00,0.00,0.00,0.35,2.83,23.67
1463492523000,0.00,0.00,73.68,1.40,0.00,0.00,0.35,0.35,4.56,19.65
