timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,72.85,0.69,0.00,0.00,0.34,0.00,2.06,24.05
1463492505000,0.00,0.00,38.28,0.34,0.00,0.00,0.00,0.34,14.14,46.90
1463492508000,0.00,0.00,68.18,0.70,0.00,0.00,0.35,0.35,4.55,25.87
1463492511000,0.00,0.00,65.38,0.35,0.00,0.00,0.00,0.35,3.85,30.07
1463492514000,0.00,0.00,67.82,0.00,0.00,0.00,0.00,0.00,3.81,28.37
1463492517000,0.00,0.00,76.63,0.34,0.00,0.00,0.34,0.34,6.19,16.15
1463492520000,0.00,0.00,73.17,0.00,0.00,0.00,0.00,0.35,4.53,21.95
1463492523000,0.00,0.00,73.26,0.35,0.00,0.00,0.00,0.00,5.56,20.83
