timestamp_ms,br0-rx,br0-tx,eth0-rx,eth0-tx,lbr0-rx,lbr0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth5342f02-rx,veth5342f02-tx,veth6345c88-rx,veth6345c88-tx,veth936c977-rx,veth936c977-tx,vethbb64464-rx,vethbb64464-tx,vethd3c0cba-rx,vethd3c0cba-tx,vethdedd2f0-rx,vethdedd2f0-tx,vethea5dc8d-rx,vethea5dc8d-tx,vethf005851-rx,vethf005851-tx,vlinuxbr-rx,vlinuxbr-tx,vovsbr-rx,vovsbr-tx
1463492502000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492505000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492508000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492511000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492514000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492517000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492520000,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1463492523000,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
