timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,61.77,0.34,0.00,0.00,0.00,0.00,3.41,34.47
1463492505000,0.00,0.00,40.48,0.35,0.00,0.00,0.35,0.35,7.27,51.21
1463492508000,0.00,0.00,72.73,0.70,0.00,0.00,0.35,0.35,5.59,20.28
1463492511000,0.00,0.00,76.14,0.35,0.00,0.00,0.00,0.35,2.81,20.35
1463492514000,0.00,0.00,72.85,0.34,0.00,0.00,0.34,0.34,3.09,23.02
1463492517000,0.00,0.00,64.36,0.35,0.00,0.00,0.00,0.00,6.92,28.37
1463492520000,0.00,0.00,74.14,0.00,0.00,0.00,0.34,0.34,3.79,21.38
1463492523000,0.00,0.00,66.55,0.34,0.00,0.00,0.00,0.34,4.48,28.28
