timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,61.69,0.34,0.00,0.00,0.34,0.34,1.36,35.93
1463492505000,0.00,0.00,36.11,1.04,0.00,0.00,0.35,0.00,5.90,56.60
1463492508000,0.00,0.00,57.45,1.06,0.00,0.00,0.00,0.35,4.26,36.88
1463492511000,0.00,0.00,64.89,1.06,0.00,0.00,0.00,1.06,3.55,29.43
1463492514000,0.00,0.00,70.88,1.05,0.00,0.00,0.35,0.35,5.61,21.75
1463492517000,0.00,0.00,70.32,0.71,0.00,0.00,0.35,0.71,3.89,24.03
1463492520000,0.00,0.00,70.77,1.06,0.00,0.00,0.35,0.70,3.87,23.24
1463492523000,0.00,0.00,69.23,0.70,0.00,0.00,0.00,0.70,3.85,25.52
