timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,59.25,0.34,0.00,0.00,0.00,0.00,1.71,38.70
1463492505000,0.00,0.00,39.10,1.04,0.00,0.00,0.35,0.35,7.61,51.56
1463492508000,0.00,0.00,65.48,0.71,0.00,0.00,0.00,0.36,5.69,27.76
1463492511000,0.00,0.00,66.20,0.70,0.00,0.00,0.35,0.70,5.28,26.76
1463492514000,0.00,0.00,76.76,1.06,0.00,0.00,0.35,0.70,3.17,17.96
1463492517000,0.00,0.00,67.38,1.42,0.00,0.00,0.00,0.71,3.55,26.95
1463492520000,0.00,0.00,72.22,0.69,0.00,0.00,0.35,0.35,5.21,21.18
1463492523000,0.00,0.00,75.17,0.70,0.00,0.00,0.00,0.70,4.55,18.88
