timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,63.45,0.00,0.00,0.00,0.00,0.34,2.41,33.79
1463492505000,0.00,0.00,44.64,0.69,0.00,0.00,0.35,0.35,6.23,47.75
1463492508000,0.00,0.00,60.99,0.71,0.00,0.00,0.35,0.35,4.96,32.62
1463492511000,0.00,0.00,65.60,0.71,0.00,0.00,0.35,0.71,5.32,27.30
1463492514000,0.00,0.00,74.74,0.70,0.00,0.00,0.35,0.35,3.16,20.70
1463492517000,0.00,0.00,66.08,1.06,0.00,0.00,0.00,0.71,5.65,26.50
1463492520000,0.00,0.00,68.77,0.70,0.00,0.00,0.00,0.70,3.51,26.32
1463492523000,0.00,0.00,71.68,1.05,0.00,0.00,0.35,0.35,4.90,21.68
