timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,55.86,0.34,0.00,0.00,0.00,0.00,3.10,40.69
1463492505000,0.00,0.00,33.10,0.34,0.00,0.00,0.34,0.34,7.24,58.62
1463492508000,0.00,0.00,55.09,0.70,0.00,0.00,0.00,0.35,4.56,39.30
1463492511000,0.00,0.00,63.73,0.70,0.00,0.00,0.35,0.35,3.87,30.99
1463492514000,0.00,0.00,69.01,0.35,0.00,0.00,0.00,0.35,4.58,25.70
1463492517000,0.00,0.00,67.26,0.71,0.00,0.00,0.00,0.71,4.63,26.69
1463492520000,0.00,0.00,74.91,1.06,0.00,0.00,0.71,1.41,5.30,16.61
1463492523000,0.00,0.00,62.46,0.70,0.00,0.00,0.35,0.35,3.86,32.28
