timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,58.56,0.34,0.00,0.00,0.00,0.00,1.71,39.38
1463492505000,0.00,0.00,39.66,0.69,0.00,0.00,0.34,0.34,12.07,46.90
1463492508000,0.00,0.00,60.00,0.35,0.00,0.00,0.00,0.35,4.21,35.09
1463492511000,0.00,0.00,57.34,0.70,0.00,0.00,0.35,0.35,2.80,38.46
1463492514000,0.00,0.00,73.43,0.35,0.00,0.00,0.00,0.35,2.45,23.43
1463492517000,0.00,0.00,71.13,0.70,0.00,0.00,0.35,1.06,3.17,23.59
1463492520000,0.00,0.00,66.67,1.40,0.00,0.00,0.35,0.35,3.51,27.72
1463492523000,0.00,0.00,76.06,0.70,0.00,0.00,0.35,1.06,4.58,17.25
