timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,66.33,0.34,0.00,0.00,0.00,0.00,2.04,31.29
1463492505000,0.00,0.00,34.26,0.35,0.00,0.00,0.69,0.35,9.00,55.36
1463492508000,0.00,0.00,75.35,0.35,0.00,0.00,0.00,0.69,5.21,18.40
1463492511000,0.00,0.00,72.82,0.70,0.00,0.00,0.35,0.35,5.23,20.56
1463492514000,0.00,0.00,75.78,0.35,0.00,0.00,0.00,0.00,4.15,19.72
1463492517000,0.00,0.00,79.24,0.00,0.00,0.00,0.00,0.35,4.15,16.26
1463492520000,0.00,0.00,80.69,0.69,0.00,0.00,0.34,0.34,3.45,14.48
1463492523000,0.00,0.00,76.84,0.00,0.00,0.00,0.00,0.70,6.32,16.14
