timestamp_ms,fault_sec,majflt_sec,page_swaps_in_sec,page_swaps_out_sec,pgfree_sec,pgpgin_sec,pgpgout_sec,pgscand_sec,pgscank_sec,pgsteal_sec,vmeff_pct
1463492502000,57277.33,0.00,0.00,0.00,24032.33,0.00,3633.67,0.00,0.00,0.00,0.00
1463492505000,136757.33,0.00,0.00,0.00,95561.00,9404.00,8878.00,0.00,0.00,0.00,0.00
1463492508000,92258.33,0.00,0.00,0.00,80793.00,21438.00,14733.67,0.00,0.00,0.00,0.00
1463492511000,64915.00,0.00,0.00,0.00,48874.33,22531.67,18726.00,0.00,0.00,0.00,0.00
1463492514000,83674.33,0.00,0.00,0.00,68819.00,25933.00,23120.00,0.00,0.00,0.00,0.00
1463492517000,77421.33,0.67,0.00,0.00,68444.67,22813.67,14766.33,0.00,0.00,0.00,0.00
1463492520000,81238.67,0.67,0.00,0.00,53311.33,22236.00,16473.33,0.00,0.00,0.00,0.00
1463492523000,89812.67,1.67,0.00,0.00,59945.33,21764.33,15065.67,0.00,0.00,0.00,0.00
