timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,69.86,0.34,0.00,0.00,0.34,0.00,1.71,27.74
1463492505000,0.00,0.00,46.50,0.70,0.00,0.00,0.35,0.35,7.34,44.76
1463492508000,0.00,0.00,71.48,0.35,0.00,0.00,0.00,0.35,5.28,22.54
1463492511000,0.00,0.00,68.62,0.00,0.00,0.00,0.34,0.34,4.14,26.55
1463492514000,0.00,0.00,77.43,0.35,0.00,0.00,0.00,0.00,2.78,19.44
1463492517000,0.00,0.00,72.70,0.68,0.00,0.00,0.34,0.34,4.10,21.84
1463492520000,0.00,0.00,68.73,0.00,0.00,0.00,0.00,0.34,4.47,26.46
1463492523000,0.00,0.00,78.20,1.04,0.00,0.00,0.00,1.38,6.23,13.15
