timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1463492502000,0.00,3760.33,0.00,3757.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3760.33,0.00,0.00,0.00,0.00
1463492505000,0.00,5932.00,0.00,5921.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5932.00,0.00,0.00,0.00,0.00
1463492508000,0.00,4530.00,0.00,4515.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4529.67,0.00,0.00,0.00,0.00
1463492511000,0.00,4179.00,0.00,4165.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4179.33,0.00,0.00,0.00,0.00
1463492514000,0.00,3509.67,0.00,3503.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3509.67,0.00,0.00,0.00,0.00
1463492517000,0.00,3345.67,0.00,3332.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3345.67,0.00,0.00,0.00,0.00
1463492520000,0.00,3003.67,0.00,2998.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3003.33,0.00,0.00,0.00,0.00
1463492523000,0.00,3285.33,0.00,3278.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3285.67,0.00,0.00,0.00,0.00
