timestamp_ms,br0-rx,br0-tx,eth0-rx,eth0-tx,lbr0-rx,lbr0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth5342f02-rx,veth5342f02-tx,veth6345c88-rx,veth6345c88-tx,veth936c977-rx,veth936c977-tx,vethbb64464-rx,vethbb64464-tx,vethd3c0cba-rx,vethd3c0cba-tx,vethdedd2f0-rx,vethdedd2f0-tx,vethea5dc8d-rx,vethea5dc8d-tx,vethf005851-rx,vethf005851-tx,vlinuxbr-rx,vlinuxbr-tx,vovsbr-rx,vovsbr-tx
1463492502000,0.00,0.00,10.00,7.33,0.00,0.00,3750.33,3750.33,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492505000,0.00,0.00,32.00,21.00,0.00,0.00,5901.33,5901.33,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492508000,0.00,0.00,45.67,29.67,0.00,0.00,4476.67,4476.67,0.00,0.00,2.67,4.00,,,,,,,,,,,,,,,2.67,4.00,0.00,0.00,0.00,0.00
1463492511000,0.00,0.00,40.00,26.67,0.00,0.00,4144.00,4144.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492514000,0.00,0.00,21.33,15.33,0.00,0.00,3489.00,3489.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1463492517000,0.00,0.00,1266400.67,776113.67,3943.00,3.33,63313658.33,63313658.33,0.00,0.00,0.00,0.00,,,1.67,1.67,,,,,0.67,0.33,,,,,0.00,0.00,364.00,3849.67,3849.67,364.00
1463492520000,0.00,0.00,1266419.00,776125.67,,,63316639.67,63316639.67,0.00,0.00,2.67,4.00,1.00,2.33,0.33,5.33,,,,,,,,,2.00,4.33,2.67,4.00,364.00,3854.33,3854.33,364.00
1463492523000,0.00,0.00,1266442.67,776142.33,,,,,0.00,0.00,0.00,0.00,,,2.33,16.00,2.00,7.67,2.00,4.67,,,0.33,2.67,2.00,13.67,460741.67,710489.00,,,3863.33,364.00
