timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,64.73,0.00,0.00,0.00,0.00,0.00,1.71,33.56
1463492505000,0.00,0.00,37.33,0.68,0.00,0.00,0.34,0.34,5.82,55.48
1463492508000,0.00,0.00,64.91,1.05,0.00,0.00,0.35,0.70,4.91,28.07
1463492511000,0.00,0.00,60.92,0.35,0.00,0.00,0.00,0.70,4.93,33.10
1463492514000,0.00,0.00,72.63,1.05,0.00,0.00,0.35,0.70,3.16,22.11
1463492517000,0.00,0.00,60.63,0.70,0.00,0.00,0.00,0.35,4.18,34.15
1463492520000,0.00,0.00,77.11,0.35,0.00,0.00,0.35,0.70,3.52,17.96
1463492523000,0.00,0.00,73.43,0.70,0.00,0.00,0.00,0.70,6.64,18.53
