timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,68.15,0.34,0.00,0.00,0.00,0.34,2.05,29.11
1463492505000,0.00,0.00,35.52,0.34,0.00,0.00,0.34,0.00,6.55,57.24
1463492508000,0.00,0.00,71.48,0.34,0.00,0.00,0.34,0.34,5.84,21.65
1463492511000,0.00,0.00,75.62,0.35,0.00,0.00,0.00,0.35,4.95,18.73
1463492514000,0.00,0.00,73.88,0.34,0.00,0.00,0.34,0.34,3.09,21.99
1463492517000,0.00,0.00,78.89,0.35,0.00,0.00,0.00,0.00,4.84,15.92
1463492520000,0.00,0.00,81.66,1.38,0.00,0.00,0.00,0.35,6.57,10.03
1463492523000,0.00,0.00,78.62,0.00,0.00,0.00,0.34,0.34,4.14,16.55
