timestamp_ms,br0,eth0,lbr0,lo,ovs-system,tun0,veth5342f02,veth6345c88,veth936c977,vethbb64464,vethd3c0cba,vethdedd2f0,vethea5dc8d,vethf005851,vlinuxbr,vovsbr
1463492502000,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.00,0.00,0.00
1463492505000,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.00,0.00,0.00
1463492508000,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.00,0.00,0.00
1463492511000,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.00,0.00,0.00
1463492514000,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.00,0.00,0.00
1463492517000,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,0.00,,,0.00,0.00,0.00
1463492520000,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1463492523000,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00
