timestamp_ms,br0-rx,br0-tx,eth0-rx,eth0-tx,lbr0-rx,lbr0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth5342f02-rx,veth5342f02-tx,veth6345c88-rx,veth6345c88-tx,veth936c977-rx,veth936c977-tx,vethbb64464-rx,vethbb64464-tx,vethd3c0cba-rx,vethd3c0cba-tx,vethdedd2f0-rx,vethdedd2f0-tx,vethea5dc8d-rx,vethea5dc8d-tx,vethf005851-rx,vethf005851-tx,vlinuxbr-rx,vlinuxbr-tx,vovsbr-rx,vovsbr-tx
1463492502000,0,0,0.00712704,0.00671744,0,0,51.32345344,51.32345344,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0
1463492505000,0,0,0.03629056,0.04128768,0,0,76.56169472,76.56169472,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0
1463492508000,0,0,0.05644288,0.06078464,0,0,51.5964928,51.5964928,0,0,0.00221184,0.00270336,,,,,,,,,,,,,,,0.00221184,0.00270336,0,0,0,0
1463492511000,0,0,0.04890624,0.05267456,0,0,54.96619008,54.96619008,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0
1463492514000,0,0,0.02473984,0.02654208,0,0,41.10082048,41.10082048,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0
1463492517000,0,0,9110.75328,661.70740736,2.10763776,0.00196608,298452.77908992,298452.77908992,0,0,0,0,,,0.00114688,0.00114688,,,,,0.00049152,0.00024576,,,,,0,0,0.36175872,2.51748352,2.51748352,0.36175872
1463492520000,0,0,9110.77556224,661.73149184,,,298484.71822336,298484.71822336,0,0,0.00221184,0.00270336,0.00065536,0.00155648,0.00024576,0.00360448,,,,,,,,,0.00139264,0.00294912,0.00221184,0.00270336,0.36175872,2.5206784,2.5206784,0.36175872
1463492523000,0,0,9110.8028416,661.7612288,,,,,0,0,0,0,,,0.00155648,0.01081344,0.00139264,0.00516096,0.00139264,0.00311296,,,0.00024576,0.00180224,0.00139264,0.00917504,5070.65950208,35195.79357184,,,2.52665856,0.36175872
