timestamp_ms,commit_pct,hugeused_pct,kbactive,kbanonpg,kbbuffers,kbcached,kbcommit,kbdirty,kbhugefree,kbhugeused,kbinactive,kbkstack,kbmemfree,kbmemused,kbpgtbl,kbslab,kbswpcad,kbswpfree,kbswpused,kbvmused,memused_pct,swpcad_pct,swpused_pct
1463492502000,22.74,0.00,7848200,3652860,12620,7513292,14899196,1120,0,0,3219696,23360,52701948,12831236,22864,957608,0,0,0,292464,19.58,0.00,0.00
1463492505000,22.74,0.00,7855600,3689720,12620,7514212,14899332,1260,0,0,3220836,26144,52685772,12847412,24644,957592,0,0,0,301756,19.60,0.00,0.00
1463492508000,22.89,0.00,7873960,3682408,12620,7516132,15003096,1472,0,0,3220472,25264,52663092,12870092,21804,957288,0,0,0,303864,19.64,0.00,0.00
1463492511000,24.24,0.00,7952756,3740940,12620,7517260,15883400,1604,0,0,3220672,26192,52582236,12950948,22328,957128,0,0,0,308012,19.76,0.00,0.00
1463492514000,23.30,0.00,7913564,3698920,12620,7518152,15266800,1728,0,0,3221020,24944,52628988,12904196,22052,957012,0,0,0,298780,19.69,0.00,0.00
1463492517000,23.22,0.00,7914332,3719000,12620,7524476,15217132,4944,0,0,3225432,25760,52611308,12921876,24712,958424,0,0,0,303940,19.72,0.00,0.00
1463492520000,25.48,0.00,7927840,3726784,12620,7528564,16697900,5508,0,0,3229136,26080,52590468,12942716,25060,958500,0,0,0,307024,19.75,0.00,0.00
1463492523000,24.10,0.00,7870324,3668908,12620,7534896,15794972,5684,0,0,3234240,25984,52626096,12907088,23528,959292,0,0,0,308072,19.70,0.00,0.00
