timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1463492502000,0.00,0.00,60.41,0.00,0.00,0.00,0.00,0.34,5.12,34.13
1463492505000,0.00,0.00,43.40,0.35,0.00,0.00,0.35,0.00,7.64,48.26
1463492508000,0.00,0.00,76.47,0.35,0.00,0.00,0.00,0.35,2.77,20.07
1463492511000,0.00,0.00,73.17,0.35,0.00,0.00,0.35,0.35,2.79,23.00
1463492514000,0.00,0.00,82.01,0.35,0.00,0.00,0.00,0.35,4.84,12.46
1463492517000,0.00,0.00,75.69,0.00,0.00,0.00,0.00,0.35,4.51,19.44
1463492520000,0.00,0.00,75.26,0.34,0.00,0.00,0.00,0.34,4.81,19.24
1463492523000,0.00,0.00,81.51,1.03,0.00,0.00,0.34,0.00,2.40,14.73
