timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1463492502000,31.00,30.33,3676.33,0.00,5.33,0.00,0.00,0.00,3673.67
1463492505000,21.33,20.67,5859.00,0.67,10.67,0.00,3.33,0.00,5844.67
1463492508000,9.33,8.67,4500.67,0.00,7.67,0.00,0.00,0.00,4486.00
1463492511000,5.33,5.00,4158.67,0.33,3.33,0.00,0.00,0.00,4145.33
1463492514000,8.67,7.67,3481.00,0.33,8.00,0.00,0.00,0.00,3475.00
1463492517000,5.33,5.33,3322.33,0.00,5.67,0.00,0.00,0.00,3309.33
1463492520000,7.33,6.33,2984.33,0.33,5.67,0.00,0.00,0.00,2979.33
1463492523000,4.67,4.00,3267.67,0.00,5.33,0.00,0.00,0.00,3260.67
