timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,53.63,0.35,0.00,0.00,0.00,0.00,2.77,43.25
1462907745000,0.00,0.00,59.72,0.71,0.00,0.00,0.35,0.35,6.36,32.51
1462907748000,0.00,0.00,64.64,1.07,0.00,0.00,0.36,0.71,5.00,28.21
1462907751000,0.00,0.00,70.32,0.71,0.00,0.00,0.00,0.71,4.24,24.03
1462907754000,0.00,0.00,67.25,0.35,0.00,0.00,0.00,0.35,2.79,29.27
1462907757000,0.00,0.00,69.93,0.70,0.00,0.00,0.35,0.35,3.85,24.83
1462907760000,0.00,0.00,63.41,0.70,0.00,0.00,0.35,0.70,3.83,31.01
1462907763000,0.00,0.00,66.67,0.71,0.00,0.00,0.00,0.71,5.67,26.24
