timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15
1462907742000,46.71,49.15,48.97,41.23,48.78,46.73,46.02,42.21,38.83,44.79,48.12,45.17,32.53,41.73,39.24,46.42
1462907745000,51.4,52.65,48.94,49.3,41.49,47.16,39.22,44.85,55.37,38.24,46.05,49.83,43.35,36.4,49.3,43.22
1462907748000,34.18,41.67,36.2,32.14,41.34,25.63,33.57,41.9,31.25,34.13,28.33,29.72,22.03,44.14,26.39,23.83
1462907751000,25.88,31.69,35.67,24.82,32.28,29.47,28.27,31.34,37.37,18.4,21.8,31.15,24.82,30.93,31.72,17.79
1462907754000,20.42,31.58,29.12,30.11,26.6,27.98,32.06,35.32,21.26,22.33,25,17.24,16.73,23.63,20.41,11.96
1462907757000,30.74,34.38,27.28,30.26,32.63,23.05,29.03,31.93,28.18,23.44,22.34,25.51,19.72,19.17,30.11,18.78
1462907760000,28.37,23.24,23.15,27.63,20.78,19.72,35.19,33.92,23.1,29.27,23.18,22.57,32.3,24.05,25.09,10.43
1462907763000,29.14,28.11,30.58,31.67,35.24,33.8,31.91,39.5,31.93,38.68,28.57,28.07,26.67,24.13,32.41,22.1
