timestamp_ms,br0-rx,br0-tx,eth0-rx,eth0-tx,lbr0-rx,lbr0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth3c960b1-rx,veth3c960b1-tx,veth435d358-rx,veth435d358-tx,vethab0edf1-rx,vethab0edf1-tx,vethb4ba509-rx,vethb4ba509-tx,vethded390f-rx,vethded390f-tx,vethdff8b3e-rx,vethdff8b3e-tx,vethf005851-rx,vethf005851-tx,vethfd7abac-rx,vethfd7abac-tx,vlinuxbr-rx,vlinuxbr-tx,vovsbr-rx,vovsbr-tx
1462907742000,0,0,0.00401408,0.00376832,0,0,61.83419904,61.83419904,0,0,0,0,,,,,,,,,,,,,0,0,,,0,0,0,0
1462907745000,0,0,0.05341184,0.05849088,0,0,67.56663296,67.56663296,0,0,0,0,,,,,,,,,,,,,0,0,,,0,0,0,0
1462907748000,0,0,0.06119424,0.06537216,0,0,52.66038784,52.66038784,0,0,0.00221184,0.00270336,,,,,,,,,,,,,0.00221184,0.00270336,,,0,0,0,0
1462907751000,0,0,6075.25265408,333.18510592,1.0842112,0.00196608,114951.66959616,114951.66959616,0,0,0,0,,,,,,,,,,,0.00024576,0.00024576,1590.28027392,25254.9648384,,,0.22642688,1.3070336,1.3070336,0.22642688
1462907754000,0,0,0.02465792,0.02654208,0.00090112,0,42.91895296,42.91895296,0,0,0.00016384,0.00016384,,,,,,,,,,,0.00114688,0.00114688,0.00016384,0.00016384,,,0,0.00114688,0.00114688,0
1462907757000,0,0,6075.31401216,333.25146112,,,115025.98144,115025.98144,0,0,0,0,0.00049152,0.00065536,0.00114688,0.00139264,,,,,,,0.00016384,0.00180224,0,0,,,0.22642688,1.3099008,0.00180224,0
1462907760000,0,0,6075.33891584,333.27874048,,,115058.80334336,115058.80334336,0,0,0.00221184,0.00270336,,,0.00139264,0.00385024,,,,,0.00065536,0.00098304,0.00155648,0.00516096,1590.2826496,25254.9677056,0.00024576,0.00049152,,,1.3119488,0.22642688
1462907763000,0,0,6075.36422912,333.30593792,,,,,0,0,0,0,,,0.00155648,0.00892928,0.00065536,0.00311296,0.00114688,0.00319488,0.00065536,0.00524288,0.00016384,0.00507904,0,0,,,,,0.00507904,0
