timestamp_ms,commit_pct,hugeused_pct,kbactive,kbanonpg,kbbuffers,kbcached,kbcommit,kbdirty,kbhugefree,kbhugeused,kbinactive,kbkstack,kbmemfree,kbmemused,kbpgtbl,kbslab,kbswpcad,kbswpfree,kbswpused,kbvmused,memused_pct,swpcad_pct,swpused_pct
1462907742000,18.81,0.00,4410124,2656940,920,3935504,12323932,2012,0,0,2078312,23456,57619920,7913264,22076,677464,0,0,0,253480,12.08,0.00,0.00
1462907745000,18.69,0.00,4416832,2684912,920,3937344,12246916,2184,0,0,2079024,25248,57609256,7923928,20488,677112,0,0,0,256620,12.09,0.00,0.00
1462907748000,19.28,0.00,4471784,2721164,1252,3938800,12634816,2436,0,0,2080192,25040,57542448,7990736,21260,676708,0,0,0,259740,12.19,0.00,0.00
1462907751000,20.06,0.00,4515892,2748256,920,3939524,13146452,2588,0,0,2078900,25888,57494552,8038632,21996,676516,0,0,0,265964,12.27,0.00,0.00
1462907754000,19.23,0.00,4478600,2720652,920,3944148,12603608,5172,0,0,2082744,25680,57528100,8005084,22252,676056,0,0,0,266992,12.22,0.00,0.00
1462907757000,19.24,0.00,4478988,2727544,920,3947092,12609344,5828,0,0,2085100,26224,57522292,8010892,21644,675320,0,0,0,268036,12.22,0.00,0.00
1462907760000,19.49,0.00,4507904,2740296,920,3950952,12771800,6500,0,0,2087888,26528,57475600,8057584,24012,675608,0,0,0,269080,12.30,0.00,0.00
1462907763000,19.97,0.00,4441596,2685516,920,3957240,13085152,6728,0,0,2093328,27040,57530508,8002676,21436,676748,0,0,0,272188,12.21,0.00,0.00
