timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,52.92,0.34,0.00,0.00,0.34,0.00,1.72,44.67
1462907745000,0.00,0.00,50.71,1.77,0.00,0.00,0.00,0.35,6.38,40.78
1462907748000,0.00,0.00,73.67,0.36,0.00,0.00,0.36,0.36,4.27,21.00
1462907751000,0.00,0.00,69.47,0.70,0.00,0.00,0.35,0.35,3.51,25.61
1462907754000,0.00,0.00,70.63,0.70,0.00,0.00,0.00,0.70,3.15,24.83
1462907757000,0.00,0.00,75.89,0.71,0.00,0.00,0.35,0.35,4.26,18.44
1462907760000,0.00,0.00,78.87,1.06,0.00,0.00,0.00,0.35,4.23,15.49
1462907763000,0.00,0.00,64.44,1.06,0.00,0.00,0.35,0.70,4.93,28.52
