timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,57.73,0.34,0.00,0.00,0.34,0.69,3.09,37.80
1462907745000,0.00,0.00,50.00,0.70,0.00,0.00,0.35,0.00,5.99,42.96
1462907748000,0.00,0.00,65.71,1.43,0.00,0.00,0.00,0.71,5.71,26.43
1462907751000,0.00,0.00,74.11,0.71,0.00,0.00,0.35,0.35,3.19,21.28
1462907754000,0.00,0.00,68.86,0.69,0.00,0.00,0.35,0.35,4.15,25.61
1462907757000,0.00,0.00,68.68,0.36,0.00,0.00,0.36,0.71,4.63,25.27
1462907760000,0.00,0.00,71.33,0.70,0.00,0.00,0.35,0.35,4.20,23.08
1462907763000,0.00,0.00,66.55,1.07,0.00,0.00,0.00,0.71,3.20,28.47
