timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,54.14,0.34,0.00,0.00,0.00,0.34,3.10,42.07
1462907745000,0.00,0.00,49.48,0.35,0.00,0.00,0.35,0.35,4.84,44.64
1462907748000,0.00,0.00,69.58,0.35,0.00,0.00,0.00,0.35,5.24,24.48
1462907751000,0.00,0.00,68.17,0.35,0.00,0.00,0.35,0.35,2.77,28.03
1462907754000,0.00,0.00,82.07,0.69,0.00,0.00,0.00,0.00,2.41,14.83
1462907757000,0.00,0.00,73.79,0.34,0.00,0.00,0.00,0.34,4.48,21.03
1462907760000,0.00,0.00,76.74,0.35,0.00,0.00,0.35,0.35,2.78,19.44
1462907763000,0.00,0.00,71.23,0.00,0.00,0.00,0.00,0.70,5.61,22.46
