timestamp_ms,br0-rx,br0-tx,eth0-rx,eth0-tx,lbr0-rx,lbr0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth3c960b1-rx,veth3c960b1-tx,veth435d358-rx,veth435d358-tx,vethab0edf1-rx,vethab0edf1-tx,vethb4ba509-rx,vethb4ba509-tx,vethded390f-rx,vethded390f-tx,vethdff8b3e-rx,vethdff8b3e-tx,vethf005851-rx,vethf005851-tx,vethfd7abac-rx,vethfd7abac-tx,vlinuxbr-rx,vlinuxbr-tx,vovsbr-rx,vovsbr-tx
1462907742000,0.00,0.00,6.00,4.00,0.00,0.00,3877.67,3877.67,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00
1462907745000,0.00,0.00,49.33,31.67,0.00,0.00,5543.33,5543.33,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00
1462907748000,0.00,0.00,52.67,33.33,0.00,0.00,4191.33,4191.33,0.00,0.00,2.67,4.00,,,,,,,,,,,,,2.67,4.00,,,0.00,0.00,0.00,0.00
1462907751000,0.00,0.00,748178.00,395948.67,2002.33,3.33,27437472.67,27437472.67,0.00,0.00,0.00,0.00,,,,,,,,,,,0.33,0.33,239434.33,383435.00,,,90.33,1998.67,1998.67,90.33
1462907754000,0.00,0.00,21.33,15.33,1.67,0.00,3466.00,3466.00,0.00,0.00,0.33,0.33,,,,,,,,,,,1.67,1.67,0.33,0.33,,,0.00,1.67,1.67,0.00
1462907757000,0.00,0.00,748229.33,395983.67,,,27443970.00,27443970.00,0.00,0.00,0.00,0.00,0.67,1.00,1.67,2.00,,,,,,,0.33,2.67,0.00,0.00,,,90.33,2003.00,2.67,0.00
1462907760000,0.00,0.00,748249.67,395996.67,,,27446978.33,27446978.33,0.00,0.00,2.67,4.00,,,2.00,5.67,,,,,1.00,1.33,2.33,7.67,239437.33,383439.33,0.33,0.67,,,2006.00,90.33
1462907763000,0.00,0.00,748271.67,396011.00,,,,,0.00,0.00,0.00,0.00,,,2.33,13.33,1.00,4.67,1.67,4.67,1.00,8.00,0.33,7.67,0.00,0.00,,,,,7.67,0.00
