timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,50.34,0.34,0.00,0.00,0.34,0.34,6.51,42.12
1462907745000,0.00,0.00,50.00,0.70,0.00,0.00,0.35,0.35,6.34,42.25
1462907748000,0.00,0.00,62.37,1.08,0.00,0.00,0.00,0.36,3.58,32.62
1462907751000,0.00,0.00,62.94,1.05,0.00,0.00,0.00,0.35,3.50,32.17
1462907754000,0.00,0.00,69.82,0.70,0.00,0.00,0.35,0.35,4.56,24.21
1462907757000,0.00,0.00,70.98,1.40,0.00,0.00,0.35,0.35,3.85,23.08
1462907760000,0.00,0.00,75.79,0.70,0.00,0.00,0.00,0.35,5.26,17.89
1462907763000,0.00,0.00,67.63,0.72,0.00,0.00,0.00,1.08,3.60,26.98
