timestamp_ms,br0-rx,br0-tx,eth0-rx,eth0-tx,lbr0-rx,lbr0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth3c960b1-rx,veth3c960b1-tx,veth435d358-rx,veth435d358-tx,vethab0edf1-rx,vethab0edf1-tx,vethb4ba509-rx,vethb4ba509-tx,vethded390f-rx,vethded390f-tx,vethdff8b3e-rx,vethdff8b3e-tx,vethf005851-rx,vethf005851-tx,vethfd7abac-rx,vethfd7abac-tx,vlinuxbr-rx,vlinuxbr-tx,vovsbr-rx,vovsbr-tx
1462907742000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00
1462907745000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00
1462907748000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00
1462907751000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
1462907754000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
1462907757000,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
1462907760000,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
1462907763000,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00
