timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,51.19,0.34,0.00,0.00,0.00,0.34,3.41,44.71
1462907745000,0.00,0.00,53.61,0.34,0.00,0.00,0.34,0.00,8.25,37.46
1462907748000,0.00,0.00,70.63,0.70,0.00,0.00,0.00,0.35,4.90,23.43
1462907751000,0.00,0.00,76.82,0.69,0.00,0.00,0.00,0.69,4.84,16.96
1462907754000,0.00,0.00,75.00,0.00,0.00,0.00,0.34,0.00,4.11,20.55
1462907757000,0.00,0.00,76.98,0.34,0.00,0.00,0.00,0.34,5.50,16.84
1462907760000,0.00,0.00,75.78,0.35,0.00,0.00,0.00,0.69,4.15,19.03
1462907763000,0.00,0.00,70.38,0.70,0.00,0.00,0.35,0.35,4.18,24.04
