timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,50.52,0.35,0.00,0.00,0.00,0.35,2.79,45.99
1462907745000,0.00,0.00,57.80,0.35,0.00,0.00,0.35,0.35,6.03,35.11
1462907748000,0.00,0.00,57.24,1.06,0.00,0.00,0.35,0.35,4.24,36.75
1462907751000,0.00,0.00,66.32,1.05,0.00,0.00,0.35,0.35,4.56,27.37
1462907754000,0.00,0.00,71.99,1.06,0.00,0.00,0.00,0.35,2.84,23.76
1462907757000,0.00,0.00,65.61,1.05,0.00,0.00,0.35,0.70,3.86,28.42
1462907760000,0.00,0.00,77.46,1.41,0.00,0.00,0.00,0.35,4.23,16.55
1462907763000,0.00,0.00,63.70,0.36,0.00,0.00,0.36,0.71,4.63,30.25
