timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,57.44,0.35,0.00,0.00,0.35,0.00,3.11,38.75
1462907745000,0.00,0.00,53.38,1.42,0.00,0.00,0.36,0.36,4.63,39.86
1462907748000,0.00,0.00,56.69,1.06,0.00,0.00,0.35,0.35,5.28,36.27
1462907751000,0.00,0.00,67.61,0.70,0.00,0.00,0.35,0.35,4.93,26.06
1462907754000,0.00,0.00,63.64,0.70,0.00,0.00,0.00,0.35,3.50,31.82
1462907757000,0.00,0.00,67.37,0.35,0.00,0.00,0.35,0.35,2.46,29.12
1462907760000,0.00,0.00,65.72,0.35,0.00,0.00,0.35,0.00,3.18,30.39
1462907763000,0.00,0.00,59.43,0.36,0.00,0.00,0.36,0.71,5.69,33.45
