timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,57.93,0.34,0.00,0.00,0.00,0.00,2.76,38.97
1462907745000,0.00,0.00,62.90,0.35,0.00,0.00,0.71,0.35,6.36,29.33
1462907748000,0.00,0.00,55.17,0.34,0.00,0.00,0.00,0.34,4.83,39.31
1462907751000,0.00,0.00,68.38,0.34,0.00,0.00,0.34,0.34,4.47,26.12
1462907754000,0.00,0.00,76.37,0.00,0.00,0.00,0.34,0.00,4.11,19.18
1462907757000,0.00,0.00,79.79,0.35,0.00,0.00,0.00,0.70,4.88,14.29
1462907760000,0.00,0.00,75.26,0.69,0.00,0.00,0.34,0.00,3.78,19.93
1462907763000,0.00,0.00,75.17,0.35,0.00,0.00,0.00,0.35,3.50,20.63
