timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1462907742000,14.33,14.33,3834.33,0.00,6.67,0.00,0.00,0.00,3832.33
1462907745000,12.33,11.00,5551.00,0.67,10.00,0.00,0.33,0.00,5533.00
1462907748000,7.00,6.33,4231.00,0.00,5.67,0.00,0.00,0.00,4213.00
1462907751000,7.33,7.00,3792.33,0.33,5.33,0.00,0.33,0.00,3780.67
1462907754000,7.67,6.67,3461.67,0.33,6.67,0.00,0.00,0.00,3455.67
1462907757000,5.33,5.33,3042.00,0.00,5.67,0.00,0.00,0.00,3031.67
1462907760000,7.67,6.67,3007.00,0.33,5.67,0.00,0.00,0.00,3001.00
1462907763000,6.33,6.33,3554.00,0.00,6.67,0.00,0.00,0.00,3546.33
