timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1462907742000,0.00,3884.00,0.00,3882.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3884.00,0.00,0.00,0.00,0.00
1462907745000,0.00,5591.00,0.00,5573.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5591.00,0.00,0.00,0.00,0.00
1462907748000,0.00,4250.00,0.00,4232.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4250.00,0.00,0.00,0.00,0.00
1462907751000,0.00,3821.67,0.00,3810.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3821.67,0.00,0.00,0.00,0.00
1462907754000,0.00,3486.67,0.00,3480.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3486.67,0.00,0.00,0.00,0.00
1462907757000,0.00,3063.33,0.00,3053.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3063.33,0.00,0.00,0.00,0.00
1462907760000,0.00,3028.67,0.00,3022.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3028.67,0.00,0.00,0.00,0.00
1462907763000,0.00,3580.33,0.00,3572.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3580.33,0.00,0.00,0.00,0.00
