timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,60.42,0.35,0.00,0.00,0.35,0.00,2.08,36.81
1462907745000,0.00,0.00,49.65,0.69,0.00,0.00,0.00,0.35,7.29,42.01
1462907748000,0.00,0.00,72.92,0.35,0.00,0.00,0.35,0.35,3.47,22.57
1462907751000,0.00,0.00,67.93,0.34,0.00,0.00,0.34,0.00,3.79,27.59
1462907754000,0.00,0.00,78.89,0.35,0.00,0.00,0.00,0.35,2.42,17.99
1462907757000,0.00,0.00,69.55,0.35,0.00,0.00,0.00,0.00,3.81,26.30
1462907760000,0.00,0.00,74.23,0.34,0.00,0.00,0.34,0.34,3.44,21.31
1462907763000,0.00,0.00,67.25,0.00,0.00,0.00,0.00,0.35,4.88,27.53
