timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1462907742000,0.00,0.00,52.94,0.35,0.00,0.00,0.00,0.00,2.42,44.29
1462907745000,0.00,0.00,47.20,0.70,0.00,0.00,0.35,0.70,4.55,46.50
1462907748000,0.00,0.00,64.75,0.72,0.00,0.00,0.00,0.36,4.32,29.86
1462907751000,0.00,0.00,72.73,0.70,0.00,0.00,0.00,0.70,3.85,22.03
1462907754000,0.00,0.00,78.52,0.35,0.00,0.00,0.35,0.70,3.87,16.20
1462907757000,0.00,0.00,67.84,1.06,0.00,0.00,0.35,0.35,3.89,26.50
1462907760000,0.00,0.00,70.21,0.71,0.00,0.00,0.00,0.71,3.55,24.82
1462907763000,0.00,0.00,68.71,1.44,0.00,0.00,0.36,0.72,4.32,24.46
